X,Y,Z,formation,IsFault
8964.41142,5,-312.85706,Fault2,TRUE
9134.99965,5,-1341.42848,Fault2,TRUE
9476.17612,5,-2519.99991,Fault2,TRUE
9874.21534,5,-3655.7142,Fault2,TRUE
10385.98005,5,-4769.99991,Fault2,TRUE
11068.33299,5,-6162.85706,Fault2,TRUE
17323.23495,5,-848.57134,Fault5,TRUE
16754.6075,5,-2048.57134,Fault5,TRUE
16129.1173,5,-3441.42848,Fault5,TRUE
15333.03887,5,-4491.42848,Fault5,TRUE
20109.50946,5,-1019.99991,Fault6,TRUE
19711.47024,5,-1855.7142,Fault6,TRUE
19085.98005,5,-2798.57134,Fault6,TRUE
1401.66632,5,999,Lower-filling,FALSE
7201.66632,5,999,Lower-filling,FALSE
11295.78397,5,-5905.7142,Lower-filling,FALSE
12262.45063,5,-5755.7142,Lower-filling,FALSE
13399.70554,5,-5219.99991,Lower-filling,FALSE
14764.41142,5,-4127.14277,Lower-filling,FALSE
15276.17612,5,-3698.57134,Lower-filling,FALSE
15901.66632,5,-3269.99991,Lower-filling,FALSE
17721.27416,5,-1598.57134,Lower-filling,FALSE
18972.25455,5,-1941.42848,Lower-filling,FALSE
23521.27416,5,999,Lower-filling,FALSE
27842.84279,5,999,Lower-filling,FALSE
1401.66632,5,999,Middle-filling,FALSE
7201.66632,5,999,Middle-filling,FALSE
10784.01926,5,-4748.57134,Middle-filling,FALSE
12205.58789,5,-4641.42848,Middle-filling,FALSE
13342.84279,5,-4191.42848,Middle-filling,FALSE
14025.19573,5,-3977.14277,Middle-filling,FALSE
15162.45063,5,-2691.42848,Middle-filling,FALSE
16470.29377,5,-1684.28563,Middle-filling,FALSE
18801.66632,5,999,Middle-filling,FALSE
21474.21534,5,999,Middle-filling,FALSE
23521.27416,5,999,Middle-filling,FALSE
27842.84279,5,999,Middle-filling,FALSE
10,5,999,Upper-filling,FALSE
4131.07808,5,999,Upper-filling,FALSE
6007.54867,5,-248.57134,Upper-filling,FALSE
8111.47024,5,-505.7142,Upper-filling,FALSE
9646.76436,5,-1298.57134,Upper-filling,FALSE
10954.6075,5,-2155.7142,Upper-filling,FALSE
13115.39181,5,-2112.85706,Upper-filling,FALSE
14821.27416,5,-2027.14277,Upper-filling,FALSE
16242.84279,5,-1662.85706,Upper-filling,FALSE
19256.56828,5,999,Upper-filling,FALSE
23521.27416,5,999,Upper-filling,FALSE
27842.84279,5,999,Upper-filling,FALSE
1401.66632,5,608.57152,Mesozoic,FALSE
4131.07808,5,544.2858,Mesozoic,FALSE
5950.68593,5,8.57152,Mesozoic,FALSE
8225.19573,5,-119.99991,Mesozoic,FALSE
9760.48985,5,-441.42848,Mesozoic,FALSE
11466.3722,5,-634.28563,Mesozoic,FALSE
13854.6075,5,-741.42848,Mesozoic,FALSE
16015.39181,5,-869.99991,Mesozoic,FALSE
18119.31338,5,-934.28563,Mesozoic,FALSE
23464.41142,5,-1384.28563,Mesozoic,FALSE
25454.6075,5,-1512.85706,Mesozoic,FALSE
27672.25455,5,-1769.99991,Mesozoic,FALSE
21019.31338,5,-1041.42848,Mesozoic,FALSE
5495.78397,5,780.00009,Tertiary,FALSE
14252.64671,5,737.14294,Tertiary,FALSE
21644.80357,5,115.71437,Tertiary,FALSE
24203.6271,5,-334.28563,Tertiary,FALSE
26591.8624,5,-569.99991,Tertiary,FALSE
28468.33299,5,-848.57134,Tertiary,FALSE
22895.78397,5,30.00009,Quaternary,FALSE
21701.66632,5,287.14294,Quaternary,FALSE
23976.17612,5,201.42866,Quaternary,FALSE
25682.05848,5,308.57152,Quaternary,FALSE
26421.27416,5,-55.7142,Quaternary,FALSE
28525.19573,5,-77.14277,Quaternary,FALSE
9589.90161,5,999,Quaternary,FALSE
2880.09769,5,999,Quaternary,FALSE
